Inner_Disk,,All_Disk,
X,Y,X,Y
-0.4460362047440697,-0.6247821227172261,-0.5841478788768939,0.8152086228435353
-0.42921913084834373,-0.39435774975598026,-0.5492791317616262,0.24626894630742258
-0.4059006362279325,-0.249747430560181,-0.5498215057974914,-0.2977096745967127
-0.4023750948569188,-0.7930072626584863,-0.5311932505003664,-0.8480544300013326
-0.39861721760842406,0.44861837795017234,-0.5264422331562669,-0.7110746272641117
-0.39948981257088745,0.2921888479063559,-0.5244334462873786,0.38317966966934525
-0.37534678873630123,0.6687828286648347,-0.5224961853239004,-0.5059139920496847
-0.3715134851277171,0.8166987344568466,-0.4970835067277012,-0.13799292371563765
-0.3501946540254628,-0.5172839871570156,-0.4925825969172519,0.7396923986547448
-0.33919589891720303,-0.08514548799122812,-0.4806595921764458,0.8785501180781418
-0.3242271134511806,0.06447062881588972,-0.47538364742484573,0.5733686787374104
-0.32235094204140224,-0.6951158609322756,-0.4720037453183519,0.0017228483305180564
-0.30448765024112023,0.5442386419308161,-0.4447817341849257,0.15494417277154204
-0.2731776510704901,-0.35882642105510065,-0.4460362047440697,-0.6247821227172261
-0.2700339852961573,0.3625225861214062,-0.4316097933139129,-0.9016749447427914
-0.26697898052271263,0.2058140816773475,-0.42921913084834373,-0.39435774975598026
-0.2642634207240946,-0.22202892704367638,-0.4059006362279325,-0.249747430560181
-0.26187275825852574,0.7439794074602335,-0.4023750948569188,-0.7930072626584863
-0.2556075738660005,-0.8415416551109771,-0.39861721760842406,0.44861837795017234
-0.2263728754090063,-0.6084120479747761,-0.39948981257088745,0.2921888479063559
-0.20944305728949897,0.8645656321172547,-0.37534678873630123,0.6687828286648347
-0.20227106989279253,-0.4732702062495573,-0.3715134851277171,0.8166987344568466
-0.18924608128727938,0.6212355763978183,-0.3654472857204354,0.9337245024967536
-0.18330579422780358,-0.10464150665434713,-0.3501946540254628,-0.5172839871570156
-0.17481966985712272,0.0660514837505991,-0.33919589891720303,-0.08514548799122812
-0.16760646414204428,0.4730000252124147,-0.3242271134511806,0.06447062881588972
-0.16866722968837933,-0.7426631131992929,-0.32235094204140224,-0.6951158609322756
-0.13302429502804003,0.3210485963288324,-0.30448765024112023,0.5442386419308161
-0.12827327768394015,-0.2719617680922557,-0.2731776510704901,-0.35882642105510065
-0.11855666527951136,0.7442990528536253,-0.2700339852961573,0.3625225861214062
-0.10268761270633897,-0.8681121784366623,-0.26697898052271263,0.2058140816773475
-0.09840090759566378,0.19239132548867055,-0.2642634207240946,-0.22202892704367638
-0.08763396599660989,-0.5983940057301609,-0.26187275825852574,0.7439794074602335
-0.08397449616550712,0.007796110804960454,-0.2556075738660005,-0.8415416551109771
-0.07383478984602543,-0.4206086276882737,-0.2263728754090063,-0.6084120479747761
-0.0700617283950613,0.8912652430056561,-0.20944305728949897,0.8645656321172547
-0.051134407154455275,0.583066155892809,-0.20227106989279253,-0.4732702062495573
-0.024784990983492516,-0.7310642160199683,-0.18924608128727938,0.6212355763978183
-0.021517833100780592,0.43285632433645627,-0.18330579422780358,-0.10464150665434713
-0.012500683068722651,-0.15210649723924052,-0.17481966985712272,0.0660514837505991
0.004237554364234564,0.7763811088815428,-0.16760646414204428,0.4730000252124147
0.009838396448883735,-0.3059358428089991,-0.16866722968837933,-0.7426631131992929
0.02859273130808737,0.2967955021052363,-0.13302429502804003,0.3210485963288324
0.02715009016507186,-0.5185000294144841,-0.12827327768394015,-0.2719617680922557
0.03589079826687258,0.0015583249662718401,-0.11855666527951136,0.7442990528536253
0.03580593702316581,-0.8765028700131945,-0.10268761270633897,-0.8681121784366623
0.04772894176397191,0.16155729669524577,-0.09840090759566378,0.19239132548867055
0.06716216657283014,0.6529885856972446,-0.08763396599660989,-0.5983940057301609
0.0815885780029868,0.8907248470323259,-0.08397449616550712,0.007796110804960454
0.10479432839961689,0.5082117085199022,-0.07383478984602543,-0.4206086276882737
0.10649535303093383,-0.7604316365378307,-0.0700617283950613,0.8912652430056561
0.11044140086330034,-0.6223965339356623,-0.051134407154455275,0.583066155892809
0.12210602211580501,-0.41476436489864943,-0.024784990983492516,-0.7310642160199683
0.1431886168858978,-0.2543756510923372,-0.021517833100780592,0.43285632433645627
0.15072260864395726,0.7747452765741852,-0.012500683068722651,-0.15210649723924052
0.1553569813095952,-0.10796416329313585,0.004237554364234564,0.7763811088815428
0.15715751552389623,0.3708310160158157,0.009838396448883735,-0.3059358428089991
0.1685289221806079,0.05066854919362307,0.02859273130808737,0.2967955021052363
0.19487833835157065,-0.8573358980785668,0.02715009016507186,-0.5185000294144841
0.19812492381156588,0.21988082932035735,0.03589079826687258,0.0015583249662718401
0.20883801294134008,0.622798548358153,0.03580593702316581,-0.8765028700131945
0.228861466698965,-0.5350309441622787,0.04772894176397191,0.16155729669524577
0.23921833818837612,-0.701696795502105,0.06716216657283014,0.6529885856972446
0.25220210847551705,0.8645656321172547,0.0815885780029868,0.8907248470323259
0.25220210847551705,-0.3632722352486364,0.10479432839961689,0.5082117085199022
0.26662851990567393,0.4939767541537454,0.10649535303093383,-0.7604316365378307
0.2843220892185425,0.7340986042703899,0.11044140086330034,-0.6223965339356623
0.2900926537906052,-0.20763313267217498,0.12210602211580501,-0.41476436489864943
0.3012519073380502,0.09821580146063935,0.1431886168858978,-0.2543756510923372
0.30676408842181146,0.3543823629501436,0.15072260864395726,0.7747452765741852
0.30990775419614414,-0.05561354410911923,0.1553569813095952,-0.10796416329313585
0.324961400905873,-0.8109581923356453,0.15715751552389623,0.3708310160158157
0.35381422376618654,-0.6347536692284674,0.1685289221806079,0.05066854919362307
0.36222471094138897,-0.4789321603133858,0.19487833835157065,-0.8573358980785668
0.3719001050274455,0.6259103902761718,0.19812492381156588,0.21988082932035735
0.37024029871450126,0.23131888649433707,0.20883801294134008,0.622798548358153
0.399351505063116,0.7876509593323754,0.228861466698965,-0.5350309441622787
0.40079414620613174,-0.3353032633268622,0.23921833818837612,-0.701696795502105
0.41080777296353466,0.47176609998057173,0.25220210847551705,0.8645656321172547
0.43397489249549226,-0.18566926354536983,0.25220210847551705,-0.3632722352486364
0.4430126149502669,0.0880153528774037,0.26662851990567393,0.4939767541537454
0.445134146042937,-0.7454600103914697,0.2843220892185425,0.7340986042703899
0.4685982799278685,-0.050019749724764306,0.2900926537906052,-0.20763313267217498
0.48253007153756267,0.34961690336321605,0.3012519073380502,0.09821580146063935
0.48276630786972397,-0.5769844020449406,0.30676408842181146,0.3543823629501436
0.5000780015859121,0.5753372411321604,0.30990775419614414,-0.05561354410911923
0.5098800110972406,0.7150607198984781,0.324961400905873,-0.8109581923356453
0.5149325189917835,-0.4430660669078157,0.3459737827715361,0.9387042499726866
0.5207030835638462,0.21420477325387977,0.35381422376618654,-0.6347536692284674
