Irregular,,Inner,
X,Y,X,Y
0.38376595793977497,-0.4628777652489542,0.5379816343710659,0.36527797394261996
0.38890648048748466,0.3883948107517371,0.5379816343710659,0.16750059235350734
0.38890648048748466,-0.3884889698760263,0.5379816343710659,-0.16759475147779646
0.3966172643090491,0.05448494573115714,0.5379816343710659,-0.36596487247227105
0.3966172643090491,-0.05457910485544648,0.5405518956449209,0.29780447163224855
0.39918752558290405,0.000051710338749177964,0.5405518956449209,0.2310224986281325
0.4068983094044687,0.21620401349408314,0.5405518956449209,-0.23131423755420877
0.4068983094044687,-0.2171872817264151,0.5405518956449209,-0.2980962105583249
0.40946857067832343,0.3335664157557544,0.5482626794664853,0.5464586521815975
0.40946857067832343,-0.3342533142854054,0.5482626794664853,0.10061982944849768
0.42231987704759777,0.27488521462491866,0.5482626794664853,-0.1007139885727868
0.42231987704759777,-0.2747817939474204,0.5482626794664853,-0.5465528113058866
0.4248901383214525,0.5208720678501387,0.5508329407403403,0.47819483066407653
0.4248901383214525,-0.5217565461815772,0.5508329407403403,-0.47828898978836576
0.4300306608691622,0.1460631838595826,,
0.4300306608691622,-0.14694766219102107,,
0.4403117059645816,0.4412474077298466,,
0.4403117059645816,-0.4411439870523486,,
0.45059275106000096,0.06979738036967498,,
0.45059275106000096,-0.07018790919664508,,
0.4634440574292753,0.38385047531062877,,
0.4634440574292753,-0.3846361637411735,,
0.46601431870313026,-0.00034344926482554605,,
0.4737251025246947,0.19466781509926456,,
0.4737251025246947,-0.19555229343070302,,
0.4788656250724044,0.549521139109301,,
0.4788656250724044,0.3241813751708563,,
0.4788656250724044,-0.32427553429514555,,
0.4788656250724044,-0.5498128780353773,,
0.48143588634625933,0.25621392335601645,,
0.48143588634625933,-0.2563080824803057,,
0.48914667016782376,0.12264997734778449,,
0.48914667016782376,-0.1227441364720736,,
0.49428719271553345,0.49380363500527524,,
0.49428719271553345,-0.4937002143277771,,
0.5174195441802272,0.052509147713283966,,
0.5174195441802272,-0.052800886639360334,,
0.5199898054540821,0.4242555447761368,,
0.5199898054540821,-0.42514002310757504,,
0.5328411118233563,-0.00034344926482554605,,
0.5379816343710659,0.36527797394261996,,
0.5379816343710659,0.16750059235350734,,
0.5379816343710659,-0.16759475147779646,,
0.5379816343710659,-0.36596487247227105,,
0.5405518956449209,0.29780447163224855,,
0.5405518956449209,0.2310224986281325,,
0.5405518956449209,-0.23131423755420877,,
0.5405518956449209,-0.2980962105583249,,
0.5482626794664853,0.5464586521815975,,
0.5482626794664853,0.10061982944849768,,
0.5482626794664853,-0.1007139885727868,,
0.5482626794664853,-0.5465528113058866,,
0.5508329407403403,0.47819483066407653,,
0.5508329407403403,-0.47828898978836576,,
